datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,City,Temp_Range,Heat_Index,Severity_Score,Condition_Code,Month,Season,Day_of_Week,Is_Weekend,Health_Risk_Score
2024-09-11,1726030800.0,86.6,74.9,80.0,92.7,74.9,82.4,71.0,74.8,0.056,42.0,16.67,['rain'],0.0,0.0,18.3,10.7,41.2,1008.5,51.6,15.0,194.4,16.7,5.0,10.0,07:16:57,1726057017.0,19:43:25,1726101805.0,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst,San Antonio,11.700000000000000,83.54959750320020,2.8356000000000000,,9.0,Fall,Wednesday,FALSE,10.475988550320000
2024-09-12,1726117200.0,90.1,73.7,81.3,95.2,73.7,83.8,70.2,70.8,0.244,29.0,16.67,['rain'],0.0,0.0,13.9,7.2,37.7,1007.0,28.7,15.0,269.3,23.1,9.0,10.0,07:17:28,1726143448.0,19:42:12,1726188132.0,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst,San Antonio,16.40000000000000,85.30163519543600,3.2144000000000000,,9.0,Fall,Thursday,FALSE,10.805958719543600
2024-09-13,1726203600.0,92.6,75.5,83.3,98.3,75.5,86.7,71.1,68.3,0.02,23.0,8.33,['rain'],0.0,0.0,12.5,7.2,124.3,1009.8,33.5,15.0,262.6,22.6,9.0,10.0,07:17:59,1726229879.0,19:40:58,1726274458.0,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst,San Antonio,17.100000000000000,88.52007848634100,3.052,,9.0,Fall,Friday,FALSE,10.936523848634100
2024-09-14,1726290000.0,92.9,76.7,84.4,99.9,76.7,89.1,72.6,69.1,0.063,30.0,12.5,['rain'],0.0,0.0,13.2,8.1,132.5,1011.0,44.1,15.0,265.3,22.8,8.0,10.0,07:18:30,1726316310.0,19:39:45,1726360785.0,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst,San Antonio,16.200000000000000,91.04123081523590,2.9263,,9.0,Fall,Saturday,TRUE,11.126196381523600
2024-09-15,1726376400.0,98.3,77.4,86.6,99.5,77.4,88.1,66.6,54.8,0.004,29.0,4.17,['rain'],0.0,0.0,21.0,12.3,145.8,1011.4,29.2,15.0,274.7,23.6,8.0,10.0,07:19:01,1726402741.0,19:38:31,1726447111.0,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst,San Antonio,20.90000000000000,90.356070721024,3.7004,,9.0,Fall,Sunday,TRUE,11.0634262721024
2024-09-16,1726462800.0,95.8,75.6,84.8,95.6,75.6,85.6,64.6,53.4,0.142,22.6,8.33,['rain'],0.0,0.0,22.1,11.9,147.7,1011.9,46.0,15.0,268.4,23.3,8.0,10.0,07:19:32,1726489172.0,19:37:17,1726533437.0,0.45,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,,fcst,San Antonio,20.200000000000000,87.03550035462390,3.8242,,9.0,Fall,Monday,FALSE,10.745672835462400
2024-09-17,1726549200.0,94.2,74.6,83.3,92.9,74.6,83.8,64.9,57.1,0.0,22.6,0.0,,0.0,0.0,20.1,15.4,127.7,1011.9,39.9,15.0,275.1,23.7,8.0,10.0,07:20:03,1726575603.0,19:36:03,1726619763.0,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,,fcst,San Antonio,19.60000000000000,85.71944942646920,3.61,,9.0,Fall,Tuesday,FALSE,10.633254942646900
2024-09-18,1726635600.0,95.1,72.9,82.6,94.4,72.9,83.4,66.6,62.4,0.0,16.1,0.0,,0.0,0.0,19.5,15.7,127.1,1012.3,19.0,15.0,269.0,23.2,8.0,10.0,07:20:35,1726662035.0,19:34:49,1726706089.0,0.52,Clear,Clear conditions throughout the day.,clear-day,,fcst,San Antonio,22.20000000000000,85.81762362425590,3.55,0.0,9.0,Fall,Wednesday,FALSE,10.79696236242560
2024-09-19,1726722000.0,94.9,73.5,82.7,95.8,73.5,84.3,68.3,65.0,0.004,9.7,4.17,['rain'],0.0,0.0,19.5,9.8,125.4,1012.3,63.2,14.6,233.9,20.1,7.0,30.0,07:21:06,1726748466.0,19:33:35,1726792415.0,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst,San Antonio,21.40000000000000,86.5697013268,3.3504,,9.0,Fall,Thursday,FALSE,10.83473013268
2024-09-20,1726808400.0,96.3,74.2,83.9,97.3,74.2,85.2,67.8,62.0,0.024,16.1,8.33,['rain'],0.0,0.0,20.6,14.1,121.2,1011.9,20.8,15.0,266.3,22.9,8.0,30.0,07:21:37,1726834897.0,19:32:21,1726878741.0,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst,San Antonio,22.100000000000000,87.89483698390010,3.6624,,9.0,Fall,Friday,FALSE,11.06017169839000
